,Model,Metric,Time,value,Samples
0,Implicit,BackwardKL,0,0.07859814,
1,Implicit,BackwardKL,0,0.010453195,
2,Implicit,BackwardKL,0,0.07859814,
3,Implicit,BackwardKL,0,0.04911885,
4,Implicit,BackwardKL,0,0.012498493,
5,Implicit,BackwardKL,0,0.010297794,
6,Implicit,BackwardKL,0,0.010297794,
7,Implicit,BackwardKL,0,0.0075636115,
8,Implicit,BackwardKL,0,0.007787609,
9,Implicit,BackwardKL,0,0.013993035,
10,Implicit,BackwardKL,0,0.008542364,
11,Implicit,BackwardKL,0,0.013993035,
12,Implicit,BackwardKL,0,0.008574922,
13,Implicit,BackwardKL,0,0.068389505,
14,Implicit,BackwardKL,0,0.010453195,
15,Implicit,BackwardKL,0,0.012498493,
16,Implicit,BackwardKL,0,0.010297794,
17,Implicit,BackwardKL,0,0.051864665,
18,Implicit,BackwardKL,0,0.010297794,
19,Implicit,BackwardKL,0,0.007787609,
20,Implicit,BackwardKL,0,0.008574922,
21,Implicit,BackwardKL,0,0.011014888,
22,Implicit,BackwardKL,0,0.015919963,
23,Implicit,BackwardKL,0,0.0068905433,
24,Implicit,BackwardKL,0,0.011014888,
25,Implicit,BackwardKL,0,0.023049094,
26,Implicit,BackwardKL,0,0.008542364,
27,Implicit,BackwardKL,0,0.012467522,
28,Implicit,BackwardKL,0,0.011014888,
29,Implicit,BackwardKL,0,0.1915746,
30,Implicit,BackwardKL,0,0.008542364,
31,Implicit,BackwardKL,0,0.013157079,
32,Implicit,BackwardKL,0,0.023606943,
33,Implicit,BackwardKL,0,0.025109421,
34,Implicit,BackwardKL,0,0.025245665,
35,Implicit,BackwardKL,0,0.012467522,
36,Implicit,BackwardKL,0,0.023606943,
37,Implicit,BackwardKL,0,0.04911885,
38,Implicit,BackwardKL,0,0.010453195,
39,Implicit,BackwardKL,0,0.08165626,
40,Implicit,BackwardKL,0,0.017595716,
41,Implicit,BackwardKL,0,0.0075636115,
42,Implicit,BackwardKL,0,0.0075636115,
43,Implicit,BackwardKL,0,0.07859814,
44,Implicit,BackwardKL,0,0.015919963,
45,Implicit,BackwardKL,0,0.010297794,
46,Implicit,BackwardKL,0,0.016481254,
47,Implicit,BackwardKL,0,0.013550536,
48,Implicit,BackwardKL,0,0.03066779,
49,Implicit,BackwardKL,0,0.013157079,
50,Implicit,BackwardKL,0,0.008542364,
51,Implicit,BackwardKL,0,0.0075636115,
52,Implicit,BackwardKL,0,0.023049094,
53,Implicit,BackwardKL,0,0.017595716,
54,Implicit,BackwardKL,0,0.1915746,
55,Implicit,BackwardKL,0,0.023049094,
56,Implicit,BackwardKL,0,0.07859814,
57,Implicit,BackwardKL,0,0.012479361,
58,Implicit,BackwardKL,0,0.0068905433,
59,Implicit,BackwardKL,0,0.016029103,
60,Implicit,BackwardKL,0,0.1915746,
61,Implicit,BackwardKL,0,0.056493457,
62,Implicit,BackwardKL,0,0.013157079,
63,Implicit,BackwardKL,0,0.010297794,
64,Implicit,BackwardKL,0,0.010297794,
65,Implicit,BackwardKL,0,0.066591024,
66,Implicit,BackwardKL,0,0.010033024,
67,Implicit,BackwardKL,0,0.0068905433,
68,Implicit,BackwardKL,0,0.013157079,
69,Implicit,BackwardKL,0,0.0068905433,
70,Implicit,BackwardKL,0,0.012479361,
71,Implicit,BackwardKL,0,0.013157079,
72,Implicit,BackwardKL,0,0.08387329,
73,Implicit,BackwardKL,0,0.010297794,
74,Implicit,BackwardKL,0,0.0068905433,
75,Implicit,BackwardKL,0,0.016029103,
76,Implicit,BackwardKL,0,0.016481254,
77,Implicit,BackwardKL,0,0.012952752,
78,Implicit,BackwardKL,0,0.025109421,
79,Implicit,BackwardKL,0,0.012467522,
80,Implicit,BackwardKL,0,0.012498493,
81,Implicit,BackwardKL,0,0.007787609,
82,Implicit,BackwardKL,0,0.010297794,
83,Implicit,BackwardKL,0,0.012952752,
84,Implicit,BackwardKL,0,0.016639533,
85,Implicit,BackwardKL,0,0.012498493,
86,Implicit,BackwardKL,0,0.008542364,
87,Implicit,BackwardKL,0,0.008542364,
88,Implicit,BackwardKL,0,0.08165626,
89,Implicit,BackwardKL,0,0.007787609,
90,Implicit,BackwardKL,0,0.010033024,
91,Implicit,BackwardKL,0,0.023606943,
92,Implicit,BackwardKL,0,0.016029103,
93,Implicit,BackwardKL,0,0.0068905433,
94,Implicit,BackwardKL,0,0.07859814,
95,Implicit,BackwardKL,0,0.012467522,
96,Implicit,BackwardKL,0,0.007787609,
97,Implicit,BackwardKL,0,0.007787609,
98,Implicit,BackwardKL,0,0.007787609,
99,Implicit,BackwardKL,0,0.08165626,
100,Implicit,ForwardKL,0,0.035853066,
101,Implicit,ForwardKL,0,0.010537027,
102,Implicit,ForwardKL,0,0.035853066,
103,Implicit,ForwardKL,0,0.03414774,
104,Implicit,ForwardKL,0,0.01282831,
105,Implicit,ForwardKL,0,0.009003259,
106,Implicit,ForwardKL,0,0.009003259,
107,Implicit,ForwardKL,0,0.007335944,
108,Implicit,ForwardKL,0,0.007510059,
109,Implicit,ForwardKL,0,0.014797283,
110,Implicit,ForwardKL,0,0.008017912,
111,Implicit,ForwardKL,0,0.014797283,
112,Implicit,ForwardKL,0,0.008160453,
113,Implicit,ForwardKL,0,0.047143154,
114,Implicit,ForwardKL,0,0.010537027,
115,Implicit,ForwardKL,0,0.01282831,
116,Implicit,ForwardKL,0,0.009003259,
117,Implicit,ForwardKL,0,0.025397891,
118,Implicit,ForwardKL,0,0.009003259,
119,Implicit,ForwardKL,0,0.007510059,
120,Implicit,ForwardKL,0,0.008160453,
121,Implicit,ForwardKL,0,0.0100277355,
122,Implicit,ForwardKL,0,0.016402267,
123,Implicit,ForwardKL,0,0.006902269,
124,Implicit,ForwardKL,0,0.0100277355,
125,Implicit,ForwardKL,0,0.02210327,
126,Implicit,ForwardKL,0,0.008017912,
127,Implicit,ForwardKL,0,0.012398785,
128,Implicit,ForwardKL,0,0.0100277355,
129,Implicit,ForwardKL,0,0.054657787,
130,Implicit,ForwardKL,0,0.008017912,
131,Implicit,ForwardKL,0,0.013567407,
132,Implicit,ForwardKL,0,0.02288716,
133,Implicit,ForwardKL,0,0.021861339,
134,Implicit,ForwardKL,0,0.024937,
135,Implicit,ForwardKL,0,0.012398785,
136,Implicit,ForwardKL,0,0.02288716,
137,Implicit,ForwardKL,0,0.03414774,
138,Implicit,ForwardKL,0,0.010537027,
139,Implicit,ForwardKL,0,0.030012112,
140,Implicit,ForwardKL,0,0.016854508,
141,Implicit,ForwardKL,0,0.007335944,
142,Implicit,ForwardKL,0,0.007335944,
143,Implicit,ForwardKL,0,0.035853066,
144,Implicit,ForwardKL,0,0.016402267,
145,Implicit,ForwardKL,0,0.009003259,
146,Implicit,ForwardKL,0,0.009337295,
147,Implicit,ForwardKL,0,0.013423417,
148,Implicit,ForwardKL,0,0.021306027,
149,Implicit,ForwardKL,0,0.013567407,
150,Implicit,ForwardKL,0,0.008017912,
151,Implicit,ForwardKL,0,0.007335944,
152,Implicit,ForwardKL,0,0.02210327,
153,Implicit,ForwardKL,0,0.016854508,
154,Implicit,ForwardKL,0,0.054657787,
155,Implicit,ForwardKL,0,0.02210327,
156,Implicit,ForwardKL,0,0.035853066,
157,Implicit,ForwardKL,0,0.0130172465,
158,Implicit,ForwardKL,0,0.006902269,
159,Implicit,ForwardKL,0,0.016384503,
160,Implicit,ForwardKL,0,0.054657787,
161,Implicit,ForwardKL,0,0.034559794,
162,Implicit,ForwardKL,0,0.013567407,
163,Implicit,ForwardKL,0,0.009003259,
164,Implicit,ForwardKL,0,0.009003259,
165,Implicit,ForwardKL,0,0.02224587,
166,Implicit,ForwardKL,0,0.009998482,
167,Implicit,ForwardKL,0,0.006902269,
168,Implicit,ForwardKL,0,0.013567407,
169,Implicit,ForwardKL,0,0.006902269,
170,Implicit,ForwardKL,0,0.0130172465,
171,Implicit,ForwardKL,0,0.013567407,
172,Implicit,ForwardKL,0,0.054637376,
173,Implicit,ForwardKL,0,0.009003259,
174,Implicit,ForwardKL,0,0.006902269,
175,Implicit,ForwardKL,0,0.016384503,
176,Implicit,ForwardKL,0,0.009337295,
